Date,Close/Last,Volume,Open,High,Low
09/26/2024,124.04,"302,582,900.00",126.80,127.67,121.80
09/25/2024,123.51,"284,692,900.00",122.02,124.94,121.61
09/24/2024,120.87,"354,966,800.00",116.52,121.80,115.38
09/23/2024,116.26,"206,228,500.00",116.55,116.99,114.86
09/20/2024,116.00,"382,462,400.00",117.06,118.62,115.39
09/19/2024,117.87,"293,506,400.00",117.35,119.66,117.25
09/18/2024,113.37,"310,318,900.00",115.89,117.70,113.22
09/17/2024,115.59,"231,925,900.00",118.17,118.80,114.83
09/16/2024,116.78,"248,772,300.00",116.79,118.18,114.36
09/13/2024,119.10,"238,358,300.00",119.08,119.96,117.60
09/12/2024,119.14,"367,100,500.00",116.84,120.79,115.38
09/11/2024,116.91,"441,422,400.00",109.39,117.19,107.42
09/10/2024,108.10,"268,283,700.00",107.81,109.40,104.95
09/09/2024,106.47,"273,912,000.00",104.88,106.55,103.69
09/06/2024,102.83,"413,638,100.00",108.04,108.15,100.95
09/05/2024,107.21,"306,850,700.00",104.99,109.65,104.76
09/04/2024,106.21,"372,470,300.00",105.41,113.27,104.12
09/03/2024,108.00,"477,155,100.00",116.01,116.21,107.29
08/30/2024,119.37,"333,751,600.00",119.53,121.75,117.22
08/29/2024,117.59,"453,023,300.00",121.36,124.43,116.71
08/28/2024,125.61,"448,101,100.00",128.12,128.33,122.64
08/27/2024,128.30,"303,134,600.00",125.05,129.20,123.88
08/26/2024,126.46,"331,964,700.00",129.57,131.26,124.37
08/23/2024,129.37,"323,230,300.00",125.86,129.60,125.22
08/22/2024,123.74,"376,189,100.00",130.02,130.75,123.10
08/21/2024,128.50,"257,883,600.00",127.32,129.35,126.66
08/20/2024,127.25,"300,087,400.00",128.40,129.88,125.89
08/19/2024,130.00,"318,333,600.00",124.28,130.00,123.42
08/16/2024,124.58,"302,589,900.00",121.94,125.00,121.18
08/15/2024,122.86,"318,086,700.00",118.76,123.24,117.47
08/14/2024,118.08,"339,246,400.00",118.53,118.60,114.07
08/13/2024,116.14,"312,646,700.00",112.44,116.23,111.58
08/12/2024,109.02,"325,559,900.00",106.32,111.07,106.26
08/09/2024,104.75,"290,844,200.00",105.64,106.60,103.43
08/08/2024,104.97,"391,910,000.00",102.00,105.50,97.52
08/07/2024,98.91,"411,440,400.00",107.81,108.80,98.69
08/06/2024,104.25,"409,012,100.00",103.84,107.71,100.55
08/05/2024,100.45,"552,842,400.00",92.06,103.41,90.69
08/02/2024,107.27,"482,027,500.00",103.76,108.72,101.37
08/01/2024,109.21,"523,462,300.00",117.53,120.16,106.81
07/31/2024,117.02,"473,174,200.00",112.90,118.34,110.88
07/30/2024,103.73,"486,833,300.00",111.52,111.99,102.54
07/29/2024,111.59,"248,152,100.00",113.69,116.28,111.30
07/26/2024,113.06,"293,399,100.00",116.19,116.20,111.58
07/25/2024,112.28,"460,067,000.00",113.04,116.63,106.30
07/24/2024,114.25,"327,776,900.00",119.17,119.95,113.44
07/23/2024,122.59,"173,911,000.00",122.78,124.69,122.10
07/22/2024,123.54,"258,068,900.00",120.35,124.07,119.86
07/19/2024,117.93,"217,223,800.00",120.35,121.60,117.37
07/18/2024,121.09,"320,979,500.00",121.85,122.40,116.56
07/17/2024,117.99,"390,086,200.00",121.35,121.85,116.72
07/16/2024,126.36,"214,769,500.00",128.44,129.04,124.58
07/15/2024,128.44,"208,326,200.00",130.56,131.39,127.18
07/12/2024,129.24,"252,680,500.00",128.26,131.92,127.22
07/11/2024,127.40,"374,782,700.00",135.75,136.15,127.05
07/10/2024,134.91,"248,978,600.00",134.03,135.10,132.42
07/09/2024,131.38,"287,020,800.00",130.35,133.82,128.65
07/08/2024,128.20,"237,677,300.00",127.49,130.77,127.04
07/05/2024,125.83,"214,176,700.00",127.38,128.85,125.68
07/03/2024,128.28,"215,749,000.00",121.66,128.28,121.36
07/02/2024,122.67,"218,374,000.00",121.13,123.41,121.03
07/01/2024,124.30,"284,885,500.00",123.47,124.84,118.83
06/28/2024,123.54,"315,516,700.00",124.58,127.71,122.75
06/27/2024,123.99,"252,571,700.00",124.10,126.41,122.92
06/26/2024,126.40,"362,975,900.00",126.13,128.12,122.60
06/25/2024,126.09,"425,787,500.00",121.20,126.50,119.32
06/24/2024,118.11,"476,060,900.00",123.24,124.46,118.04
06/21/2024,126.57,"655,484,700.00",127.12,130.63,124.30
06/20/2024,130.78,"517,768,400.00",139.80,140.76,129.52
06/18/2024,135.58,"294,335,100.00",131.14,136.33,130.69
06/17/2024,130.98,"288,504,400.00",132.99,133.73,129.58
06/14/2024,131.88,"309,320,400.00",129.96,132.84,128.32
06/13/2024,129.61,"260,704,500.00",129.39,129.80,127.16
06/12/2024,125.20,"299,595,000.00",123.06,126.88,122.57
06/11/2024,120.91,"222,551,200.00",121.77,122.87,118.74
06/10/2024,121.79,"314,162,700.00",120.37,123.10,117.01
06/07/2024,120.89,"412,385,800.00",119.77,121.69,118.02
06/06/2024,121.00,"664,696,200.00",124.05,125.59,118.32
06/05/2024,122.44,"528,401,800.00",118.37,122.45,117.47
06/04/2024,116.44,"403,324,000.00",115.72,116.60,114.05
06/03/2024,115.00,"438,391,800.00",113.62,115.00,112.00
05/31/2024,109.63,"613,262,500.00",112.52,112.72,106.94
05/30/2024,110.50,"487,350,300.00",114.65,115.82,109.66
05/29/2024,114.83,"557,441,900.00",113.05,115.49,110.90
05/28/2024,113.90,"652,727,900.00",110.24,114.94,109.88
05/24/2024,106.47,"429,493,700.00",104.45,106.48,103.00
05/23/2024,103.80,"835,065,300.00",102.03,106.32,101.52
05/22/2024,94.95,"548,648,000.00",95.46,96.02,93.25
05/21/2024,95.39,"328,946,500.00",93.60,95.40,93.18
05/20/2024,94.78,"318,764,500.00",93.75,95.20,93.44
05/17/2024,92.48,"359,691,000.00",94.37,94.74,91.81
05/16/2024,94.36,"323,951,800.00",94.91,95.82,94.10
05/15/2024,94.63,"417,735,500.00",92.47,94.86,91.60
05/14/2024,91.36,"296,507,100.00",89.60,91.65,88.93
05/13/2024,90.40,"289,680,200.00",90.48,91.00,88.53
05/10/2024,89.88,"335,325,400.00",90.30,91.40,89.23
05/09/2024,88.75,"378,012,700.00",90.53,91.07,88.23
05/08/2024,90.41,"325,721,000.00",89.48,91.19,89.42
05/07/2024,90.55,"437,341,600.00",91.10,91.78,89.01
05/06/2024,92.14,"376,202,600.00",89.39,92.22,89.06
05/03/2024,88.79,"398,340,700.00",87.79,89.28,87.04
05/02/2024,85.82,"377,897,500.00",84.45,86.24,83.20
05/01/2024,83.04,"559,863,200.00",85.08,86.00,81.25
04/30/2024,86.40,"363,708,700.00",87.24,88.82,86.30
04/29/2024,87.76,"388,970,800.00",87.60,87.99,85.27
04/26/2024,87.74,"551,010,800.00",83.82,88.33,83.39
04/25/2024,82.63,"424,640,700.00",78.87,83.32,78.22
04/24/2024,79.68,"512,207,500.00",83.95,84.08,79.18
04/23/2024,82.42,"438,559,400.00",80.77,82.77,80.26
04/22/2024,79.52,"596,340,500.00",78.10,80.07,76.40
04/19/2024,76.20,"875,198,000.00",83.15,84.32,75.61
04/18/2024,84.67,"447,260,300.00",84.97,86.19,82.40
04/17/2024,84.04,"495,399,500.00",88.34,88.78,83.95
04/16/2024,87.42,"370,453,000.00",86.43,88.12,86.06
04/15/2024,86.00,"443,077,000.00",89.10,90.61,85.93
04/12/2024,88.19,"426,804,800.00",89.70,90.18,87.53
04/11/2024,90.62,"431,637,300.00",87.42,90.74,86.93
04/10/2024,87.04,"431,928,500.00",83.93,87.40,83.71
04/09/2024,85.35,"503,547,400.00",87.44,87.64,83.02
04/08/2024,87.13,"283,220,000.00",88.70,88.83,86.73
