Date,Close/Last,Volume,Open,High,Low
09/26/2024,$124.04,302582900,$126.80,$127.665,$121.80
09/25/2024,$123.51,284692900,$122.02,$124.94,$121.61
09/24/2024,$120.87,354966800,$116.515,$121.80,$115.38
09/23/2024,$116.26,206228500,$116.55,$116.99,$114.86
09/20/2024,$116.00,382462400,$117.06,$118.6181,$115.3901
09/19/2024,$117.87,293506400,$117.35,$119.66,$117.25
09/18/2024,$113.37,310318900,$115.89,$117.70,$113.22
09/17/2024,$115.59,231925900,$118.17,$118.80,$114.83
09/16/2024,$116.78,248772300,$116.79,$118.18,$114.36
09/13/2024,$119.10,238358300,$119.08,$119.955,$117.60
09/12/2024,$119.14,367100500,$116.84,$120.79,$115.38
09/11/2024,$116.91,441422400,$109.39,$117.19,$107.42
09/10/2024,$108.10,268283700,$107.81,$109.40,$104.95
09/09/2024,$106.47,273912000,$104.88,$106.55,$103.69
09/06/2024,$102.83,413638100,$108.04,$108.15,$100.95
09/05/2024,$107.21,306850700,$104.985,$109.65,$104.76
09/04/2024,$106.21,372470300,$105.41,$113.27,$104.12
09/03/2024,$108.00,477155100,$116.01,$116.21,$107.29
08/30/2024,$119.37,333751600,$119.53,$121.75,$117.22
08/29/2024,$117.59,453023300,$121.355,$124.43,$116.71
08/28/2024,$125.61,448101100,$128.12,$128.33,$122.64
08/27/2024,$128.30,303134600,$125.05,$129.20,$123.88
08/26/2024,$126.46,331964700,$129.57,$131.26,$124.37
08/23/2024,$129.37,323230300,$125.86,$129.60,$125.22
08/22/2024,$123.74,376189100,$130.02,$130.75,$123.10
08/21/2024,$128.50,257883600,$127.315,$129.35,$126.66
08/20/2024,$127.25,300087400,$128.40,$129.88,$125.89
08/19/2024,$130.00,318333600,$124.28,$130.00,$123.42
08/16/2024,$124.58,302589900,$121.94,$125.00,$121.18
08/15/2024,$122.86,318086700,$118.76,$123.24,$117.47
08/14/2024,$118.08,339246400,$118.53,$118.60,$114.07
08/13/2024,$116.14,312646700,$112.44,$116.23,$111.58
08/12/2024,$109.02,325559900,$106.32,$111.07,$106.26
08/09/2024,$104.75,290844200,$105.64,$106.60,$103.43
08/08/2024,$104.97,391910000,$102.00,$105.50,$97.52
08/07/2024,$98.91,411440400,$107.81,$108.80,$98.69
08/06/2024,$104.25,409012100,$103.84,$107.71,$100.55
08/05/2024,$100.45,552842400,$92.06,$103.41,$90.69
08/02/2024,$107.27,482027500,$103.76,$108.72,$101.37
08/01/2024,$109.21,523462300,$117.53,$120.16,$106.8104
07/31/2024,$117.02,473174200,$112.90,$118.34,$110.88
07/30/2024,$103.73,486833300,$111.52,$111.99,$102.54
07/29/2024,$111.59,248152100,$113.69,$116.28,$111.30
07/26/2024,$113.06,293399100,$116.19,$116.20,$111.58
07/25/2024,$112.28,460067000,$113.04,$116.63,$106.30
07/24/2024,$114.25,327776900,$119.17,$119.95,$113.44
07/23/2024,$122.59,173911000,$122.78,$124.69,$122.10
07/22/2024,$123.54,258068900,$120.35,$124.07,$119.86
07/19/2024,$117.93,217223800,$120.35,$121.60,$117.37
07/18/2024,$121.09,320979500,$121.85,$122.40,$116.56
07/17/2024,$117.99,390086200,$121.35,$121.85,$116.72
07/16/2024,$126.36,214769500,$128.44,$129.04,$124.58
07/15/2024,$128.44,208326200,$130.56,$131.39,$127.18
07/12/2024,$129.24,252680500,$128.26,$131.92,$127.22
07/11/2024,$127.40,374782700,$135.75,$136.15,$127.05
07/10/2024,$134.91,248978600,$134.03,$135.10,$132.42
07/09/2024,$131.38,287020800,$130.35,$133.82,$128.65
07/08/2024,$128.20,237677300,$127.49,$130.77,$127.04
07/05/2024,$125.83,214176700,$127.38,$128.85,$125.68
07/03/2024,$128.28,215749000,$121.66,$128.28,$121.36
07/02/2024,$122.67,218374000,$121.13,$123.41,$121.03
07/01/2024,$124.30,284885500,$123.47,$124.84,$118.83
06/28/2024,$123.54,315516700,$124.58,$127.71,$122.75
06/27/2024,$123.99,252571700,$124.10,$126.41,$122.92
06/26/2024,$126.40,362975900,$126.13,$128.12,$122.60
06/25/2024,$126.09,425787500,$121.20,$126.50,$119.32
06/24/2024,$118.11,476060900,$123.24,$124.46,$118.04
06/21/2024,$126.57,655484700,$127.12,$130.63,$124.30
06/20/2024,$130.78,517768400,$139.80,$140.76,$129.52
06/18/2024,$135.58,294335100,$131.14,$136.33,$130.69
06/17/2024,$130.98,288504400,$132.99,$133.73,$129.58
06/14/2024,$131.88,309320400,$129.96,$132.84,$128.32
06/13/2024,$129.61,260704500,$129.39,$129.80,$127.16
06/12/2024,$125.20,299595000,$123.06,$126.88,$122.57
06/11/2024,$120.91,222551200,$121.77,$122.87,$118.74
06/10/2024,$121.79,314162700,$120.37,$123.10,$117.01
06/07/2024,$120.888,412385800,$119.77,$121.6917,$118.022
06/06/2024,$120.998,664696200,$124.048,$125.587,$118.32
06/05/2024,$122.44,528401800,$118.371,$122.4495,$117.468
